"Time","Direction","TraceCode","SeqNo","CmdNo","DbId","Attempt","MaxRetry","HeaderHex","Payload"
"2026-01-20 10:19:48.407","TX","13f555ae-cc36-4455-915c-80968d5eac74","1","1","b0d11338-feb0-4301-8d7d-e8e475b5be13","1","1","C5 6D 00 00 2B 00 E7 66 01 01 01 00","8901690004002700496327042601201019000001   "
"2026-01-20 10:19:49.719","RX","17a0a207-21f3-468b-bef6-c265a0dcd13d","0","0","","0","0","00 00 C5 6D 02 00 E7 46 01 00 01 00","OK"
"2026-01-20 10:19:53.714","RX","728966c2-202a-4a9e-beaf-b85f0186bd2c","0","0","","0","0","00 00 C5 6D 02 00 E8 46 01 00 00 00","OK"
"2026-01-20 10:20:55.049","RX","0948e5bf-6bcf-4211-ab89-6cd304d57e12","1175","0","","0","0","00 00 C5 6D 26 00 C7 C4 01 01 97 04","7601026900040027004963270426012010190 "
"2026-01-20 10:20:55.096","RX","13f555ae-cc36-4455-915c-80968d5eac74","1175","1175","b0d11338-feb0-4301-8d7d-e8e475b5be13","1","1","00 00 C5 6D 06 00 D5 F5 01 00 97 04","f60001"
"2026-01-20 10:20:55.103","TX","6bba3c66-ead4-4136-a961-6a41d103a12e","201","201","73590ed2-942c-432d-91ad-24a921951157","1","1","C5 6D 00 00 80 00 F7 CB 01 01 C9 00","80B2260120072026012010000555000500000500RZA   Z10050                                                    000069000400270049630201"
"2026-01-20 10:20:55.768","RX","a0cb9623-c39a-4fc1-a5a2-abd01e972fde","0","0","","0","0","00 00 C5 6D 02 00 1F 46 01 00 C9 00","OK"
"2026-01-20 10:20:55.772","RX","6bba3c66-ead4-4136-a961-6a41d103a12e","201","201","73590ed2-942c-432d-91ad-24a921951157","1","1","00 00 C5 6D 02 00 1F 46 01 00 C9 00","OK"
"2026-01-20 10:21:05.777","TX","1285d84e-8467-4d62-8b5a-bb919558aa32","2","2","78726eb8-c4a0-43d5-bfb2-95059b4cf08e","1","1","C5 6D 00 00 2B 00 F7 91 01 01 01 00","890251330400682001  25112601201021000001   "
"2026-01-20 10:21:06.768","RX","2e6fa1d2-8581-4d57-9987-d9cb622816b3","0","0","","0","0","00 00 C5 6D 02 00 E7 46 01 00 01 00","OK"
"2026-01-20 10:21:56.827","RX","4cb2cfe5-ba85-481b-adbf-5e279e7fd465","0","0","","0","0","00 00 C5 6D 02 00 E8 46 01 00 00 00","OK"
"2026-01-20 10:22:59.226","RX","6f85021e-2631-4739-84ad-36e413af4dcb","1177","0","","0","0","00 00 C5 6D 26 00 D5 EF 01 01 99 04","76020251330400682001  251126012010210 "
"2026-01-20 10:22:59.229","RX","1285d84e-8467-4d62-8b5a-bb919558aa32","1177","1177","78726eb8-c4a0-43d5-bfb2-95059b4cf08e","1","1","00 00 C5 6D 06 00 D3 F4 01 00 99 04","f60002"
"2026-01-20 10:22:59.231","TX","19a45a0e-9ee4-4d93-af57-8fda67ed35bf","202","202","bafd4d5f-65fa-4987-9c26-68743b7e1e5f","1","1","C5 6D 00 00 80 00 08 E6 01 01 CA 00","80B2260120072226012010020555000500000500RZA   Z10050                                                    000051330400682001  0202"
"2026-01-20 10:22:59.872","RX","040de9c6-c778-4bcd-ba36-c4134dbe07ea","0","0","","0","0","00 00 C5 6D 02 00 1E 46 01 00 CA 00","OK"
"2026-01-20 10:22:59.875","RX","19a45a0e-9ee4-4d93-af57-8fda67ed35bf","202","202","bafd4d5f-65fa-4987-9c26-68743b7e1e5f","1","1","00 00 C5 6D 02 00 1E 46 01 00 CA 00","OK"
"2026-01-20 10:23:09.890","TX","a1caa84f-9d3e-4e20-afbf-6b484badea78","3","3","72c3d560-cb94-47b4-a7c0-22b8a0912a14","1","1","C5 6D 00 00 2B 00 CA 5D 01 01 01 00","8903364310229999999628042601201023000001   "
"2026-01-20 10:23:10.882","RX","c690e887-a11f-4e89-ac4c-5a901a78468a","0","0","","0","0","00 00 C5 6D 02 00 E7 46 01 00 01 00","OK"
